Name,State,Status,Managed By,Host,Cluster,Provisioned Space,Used Space,Guest OS,Compatibility,Memory Size,Reservation,CPUs,NICs,Uptime,IP Address,VMware Tools Version Status,"VMware Tools Running 
Status",Host CPU,Host Mem,Guest Mem - %,DNS Name,EVC Mode,UUID,Notes,Alarm Actions,HA Protection,Needs Consolidation,VM Storage Policies Compliance,Encryption,TPM,VBS
Agenbrilink-tbn,Powered On,Normal,,172.19.146.167,TBN-CSTGLNV-CL02,279.11 GB,20.71 GB,Ubuntu Linux (64-bit),ESXi 6.0 and later (VM version 11),16 GB,0 B,8,1,171 days,,guestToolsNotInstalled|0,Not running,0 Hz,666 MB,1,,"Intel® ""Broadwell"" Generation",564d3327-de33-2dc6-be3a-1b428e79ec8e,,Enabled,Protected,Not Required, --,No,false,false
AJKO_172.18.141.32,Powered Off,Normal,,172.19.146.155,TBN-CSTGLNV-CL14,32.19 GB,0 B,Microsoft Windows Server 2016 or later (64-bit),ESXi 6.5 and later (VM version 13),32 GB,0 B,8,0,0 second,,,Not running,0 Hz,0 B,0,,,421882db-74a9-10be-4849-b89e23fe5b52,,Enabled,N/A,Not Required, --,No,false,false
Aktivasi License Server DRC_172.19.133.253,Powered On,Normal,,172.19.148.48,TBN-COM-HP-CL05,508.08 GB,322.4 GB,Microsoft Windows Server 2016 or later (64-bit),ESXi 6.7 and later (VM version 14),8 GB,0 B,4,1,5 days,"172.19.133.253, fe80::7d7a:4f5:172b:ff9d",guestToolsSupportedOld|10346,Running,43 MHz,6.24 GB,3,ToadDev137202,,42186710-cba8-1dc5-b03f-94d77e9473dd,,Enabled,Protected,Not Required, --,No,false,false
Aktivasi License Server DRC_172.19.41.253,Powered On,Normal,,172.19.148.33,TBN-COM-HP-CL05,508.08 GB,322.31 GB,Microsoft Windows Server 2016 or later (64-bit),ESXi 6.7 and later (VM version 14),8 GB,0 B,4,1,10 days,"172.19.41.253, fe80::79f1:37b4:3964:54e7",guestToolsSupportedOld|10346,Running,175 MHz,5.88 GB,6,ToadDev137202,,42186db0-7b90-0d37-98f4-c5e096723f3b,,Enabled,Protected,Not Required, --,No,false,false
All_New_Fullcams(prod)_172.27.27.2_1.0.0.2 Terbaru,Powered On,Normal,,tbn-com-hb08.hci.bri.co.id,TBN-COM-HB-CL01,2.82 TB,2.82 TB,CentOS 7 (64-bit),ESXi 6.7 and later (VM version 14),128 GB,0 B,24,1,228 days,"65.0.0.65, fe80::250:56ff:feaa:beac",guestToolsUnmanaged|2147483647,Running,20 MHz,10.83 GB,1,NEW-FULLCAMS-SAN,"Intel® ""Broadwell"" Generation",422acda6-1c42-18d7-44bb-3a72bc2fe383,,Enabled,Protected,Not Required,"Compliant (Jul 21, 2021 12:08 AM)",No,false,false
Antasena App_172.18.104.28,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb02.hci.bri.co.id,TBN-COM-HB-CL01,64.21 GB,0 B,Microsoft Windows Server 2016 (64-bit),ESXi 6.5 and later (VM version 13),64 GB,0 B,16,0,0 second,,,,0 Hz,0 B,0,,,42183f8d-5b74-f828-e39e-1f434fffa7ad,,Enabled,N/A,Not Required,"Noncompliant (Jul 21, 2021 12:08 AM)",No,false,false
API KMK-WA_172.18.46.169,Powered Off,Normal,,172.19.146.178,TBN-CSTGLNV-CL09,16.2 GB,0 B,Microsoft Windows Server 2016 or later (64-bit),ESXi 6.5 and later (VM version 13),16 GB,0 B,12,0,0 second,,,Not running,0 Hz,0 B,0,,,4218fdd6-546c-87d7-2c8d-8826efc9b99f,,Enabled,N/A,Not Required, --,No,false,false
API LAS_172.18.44.117,Powered Off,Normal,,172.19.146.185,TBN-CSTGLNV-CL14,64.18 GB,0 B,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.0 and later (VM version 11),64 GB,0 B,4,0,0 second,,,Not running,0 Hz,0 B,0,,,4218f53c-0afb-3cbc-632d-6ad296e7bef8,,Enabled,N/A,Not Required, --,No,false,false
API Middleware PDM _172.18.104.133 04-19 13:32 0,Powered On,Normal,,tbn-com-hb01.hci.bri.co.id,TBN-COM-HB-CL01,216.11 GB,94.1 GB,Microsoft Windows Server 2016 (64-bit),ESXi 6.5 and later (VM version 13),16 GB,0 B,4,1,93 days,"172.19.104.133, fe80::d524:ab0:c0ed:2161",guestToolsSupportedNew|10346,Running,230 MHz,16.08 GB,6,APIMiddlewarePDM,"Intel® ""Broadwell"" Generation",42187f37-5bcf-b97f-0fb8-d0213dd79548,,Enabled,Protected,Not Required,"Compliant (Jul 21, 2021 12:08 AM)",No,false,false
API MY BRI Bridge_172.18.45.22_172.18.104.114,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb03.hci.bri.co.id,TBN-COM-HB-CL01,32.19 GB,0 B,Ubuntu Linux (64-bit),ESXi 6.0 and later (VM version 11),32 GB,0 B,8,0,0 second,,,,0 Hz,0 B,0,,,421803a4-d44d-fbdc-bca8-4d333ac60439,,Enabled,N/A,Not Required,"Noncompliant (Jul 21, 2021 12:08 AM)",No,false,false
API MY BRI_172.18.44.119,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb02.hci.bri.co.id,TBN-COM-HB-CL01,32.22 GB,0 B,Microsoft Windows Server 2003 (64-bit),ESXi 6.0 and later (VM version 11),32 GB,0 B,24,0,0 second,,,,0 Hz,0 B,0,,,4218f1c3-0c1f-a44d-2ad9-f1943830464e,,Enabled,N/A,Not Required,"Noncompliant (Jul 21, 2021 12:08 AM)",No,false,false
API Prescreening (172.18.44.116) Migrasi 24server,Powered On,Normal,,tbn-com-hb02.hci.bri.co.id,TBN-COM-HB-CL01,152.14 GB,142.8 GB,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.0 and later (VM version 11),32 GB,0 B,24,5,93 days,"172.19.44.116, fe80::10fc:1d7a:fea3:ebb3",guestToolsSupportedOld|10249,Running,272 MHz,31.67 GB,3,WIN-02PR6O82R7H,"Intel® ""Broadwell"" Generation",564d80fd-3019-76a7-4b1d-0f43e643689e,,Enabled,Protected,Not Required, --,No,false,false
Apigee Router-1,Powered On,Normal,,172.19.146.117,TBN-CSTGLNV-CL02,216.18 GB,29.39 GB,CentOS 4/5 or later (64-bit),ESXi 6.0 and later (VM version 11),16 GB,0 B,8,2,174 days,"116.0.3.239, 192.168.122.1, fe80::68c3:9e25:55b7:fee7",guestToolsUnmanaged|10282,Running,41 MHz,16.08 GB,1,router01.apigee.drc.bri.co.id,"Intel® ""Broadwell"" Generation",564d24aa-916e-6a66-cdd1-591d64a24b11,,Enabled,Protected,Not Required, --,No,false,false
Apigee Router-2_116.0.3.240,Powered Off,Unknown,,172.19.146.111,TBN-CSTGLNV-CL01,216.16 GB,26.87 GB,CentOS 4/5 or later (64-bit),ESXi 6.0 and later (VM version 11),,0 B,,,0 second,,,,0 Hz,0 B,0,router02.apigee.drc.bri.co.id,,,,Enabled,N/A,Not Required, --,No,,false
App Brisim 1_172.18.46.164,Powered On,Normal,,172.19.148.33,TBN-COM-HP-CL05,912.01 GB,410.8 GB,Microsoft Windows Server 2012 (64-bit),ESXi 6.7 and later (VM version 14),32 GB,0 B,32,1,2 days,"172.19.46.164, fe80::dc78:480e:7ac1:92b3",guestToolsSupportedOld|10240,Running,416 MHz,18.85 GB,1,WIN-NCGCS9J2FI1,,422a06bf-5232-efde-98b5-7d6b27e53f68,,Enabled,Protected,Not Required, --,No,false,false
App Brisim 2_172.18.46.165,Powered On,Normal,,172.19.148.47,TBN-COM-HP-CL05,912.01 GB,417.6 GB,Microsoft Windows Server 2012 (64-bit),ESXi 6.7 and later (VM version 14),32 GB,0 B,32,1,14 hours,"172.19.46.165, fe80::f575:58d2:e164:a5b5",guestToolsSupportedOld|10240,Running,504 MHz,32.19 GB,6,WIN-NCGCS9J2FI1,,422a7d62-c23b-5c78-dfc4-a1d674d88551,,Enabled,Protected,Not Required, --,No,false,false
App MyBRI External_172.18.45.24,Powered Off,Normal,,172.19.146.185,TBN-CSTGLNV-CL14,32.19 GB,0 B,Ubuntu Linux (64-bit),ESXi 6.0 and later (VM version 11),32 GB,0 B,8,0,0 second,,,Not running,0 Hz,0 B,0,,,42180ebf-2640-abac-8f5a-0b9b8ff7c363,,Enabled,N/A,Not Required, --,No,false,false
app-ib-loadbalancing,Powered On,Normal,,172.19.146.119,TBN-CSTGLNV-CL05,135.77 GB,32.19 GB,Ubuntu Linux (64-bit),ESXi 6.0 and later (VM version 11),15.63 GB,0 B,24,1,123 days,,guestToolsNotInstalled|0,Not running,41 MHz,2.36 GB,1,,"Intel® ""Broadwell"" Generation",564dfd0f-a791-f39e-8254-1fbe85e4f6b7,,Enabled,Protected,Not Required, --,No,false,false
app-los,Powered On,Normal,,172.19.148.26,TBN-COM-HP-CL02,128.08 GB,128.08 GB,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.0 and later (VM version 11),8 GB,0 B,4,1,99 days,"172.19.44.213, fe80::b40a:e713:2b62:46ba",guestToolsSupportedOld|10246,Running,285 MHz,8.06 GB,16,APP-LOS,"Intel® ""Broadwell"" Generation",564d6f72-2f15-bd1d-f35f-875d9f8f9b51,,Enabled,Protected,Not Required, --,No,false,false
app-nfs.ocp-dr.bri.co.id,Powered On,Normal,,tbn-com-af13.hci.bri.co.id,TBN-COM-AF-CL01,636.08 GB,20.62 GB,Red Hat Enterprise Linux 8 (64-bit),ESXi 6.7 and later (VM version 14),16 GB,0 B,4,1,501 days,"172.19.50.29, fe80::b4a1:944d:309f:acb8",guestToolsUnmanaged|10346,Running,0 Hz,4.59 GB,1,app-nfs.ocp-dr.bri.co.id,"Intel® ""Broadwell"" Generation",4218b318-f533-d0cb-61ea-610c8c286808,,Enabled,Protected,Not Required,"Compliant (Jul 21, 2021 12:08 AM)",No,false,false
APP_EJLOG3_Online_172.18.45.68-new-20092018,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb02.hci.bri.co.id,TBN-COM-HB-CL01,38.75 GB,0 B,Ubuntu Linux (64-bit),ESXi 5.0 and later (VM version 8),38 GB,0 B,32,0,0 second,,,,0 Hz,0 B,0,,,4218ca6c-ac0e-d900-ea8c-37a737f64bc7,,Enabled,N/A,Not Required,"Noncompliant (Jul 21, 2021 12:08 AM)",No,false,false
APP_EJLOG4_Online_172.18.46.152,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb02.hci.bri.co.id,TBN-COM-HB-CL01,32.75 GB,0 B,Ubuntu Linux (64-bit),ESXi 5.0 and later (VM version 8),32 GB,0 B,32,0,0 second,,,,0 Hz,0 B,0,,,42187ce6-b7ff-5fae-1c82-8477fe64ff8b,,Enabled,N/A,Not Required,"Noncompliant (Jul 21, 2021 12:08 AM)",No,false,false
APP_EJLOG4_Online_172.18.46.86,Powered Off,Normal,com.vmware.vcDr,172.19.146.178,TBN-CSTGLNV-CL09,32.75 GB,0 B,Ubuntu Linux (64-bit),ESXi 5.0 and later (VM version 8),32 GB,0 B,32,0,0 second,,,Not running,0 Hz,0 B,0,,,421816dc-bc17-87e5-dccf-d7cb62c5da25,,Enabled,N/A,Not Required, --,No,false,false
APPDIKLAT03,Powered Off,Normal,,172.19.146.154,TBN-CSTGLNV-CL13,266.24 GB,250.01 GB,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.0 and later (VM version 11),16 GB,0 B,12,0,0 second,,guestToolsNotInstalled|0,Not running,0 Hz,0 B,0,,,564ddf04-2120-f9ed-19d4-036713d25785,,Enabled,N/A,Not Required, --,No,false,false
APPPOOLPSR1-Diklat-172.19.133.57,Powered On,Normal,,172.19.147.187,TBN-CSTGHP-CL05,208.1 GB,208.1 GB,Microsoft Windows Server 2003 (64-bit),ESXi 6.0 and later (VM version 11),8 GB,0 B,8,1,59 days,172.19.133.57,guestToolsSupportedOld|10240,Running,143 MHz,7.08 GB,2,APPPOOLPSR1,"Intel® ""Haswell"" Generation",4218b4e0-0760-bdbe-be8f-79b2b2df0dbc,,Enabled,Protected,Not Required, --,No,false,false
APPPOOLPSR2_DIKLAT_172.19.133.58,Powered On,Warning,,172.19.147.237,TBN-CSTGHP-CL05,308.09 GB,209.79 GB,Microsoft Windows Server 2003 (64-bit),ESXi 6.0 and later (VM version 11),8 GB,0 B,8,1,10 days,172.19.133.58,guestToolsSupportedOld|10240,Running,143 MHz,6.83 GB,2,APPPOOLPSR2,"Intel® ""Haswell"" Generation",4218ab3b-73d5-4087-90ff-1fb501cf2361,,Enabled,Protected,Required, --,No,false,false
APPPSAK-MONTH_10.35.65.238,Powered Off,Normal,,172.19.146.180,TBN-CSTGLNV-CL09,32.22 GB,0 B,Microsoft Windows Server 2003 (64-bit),ESXi 6.0 and later (VM version 11),32 GB,0 B,24,0,0 second,,,Not running,0 Hz,0 B,0,,,4218c00a-49a0-ddfd-8fc1-92524cffa437,,Enabled,N/A,Not Required, --,No,false,false
AspstateLAS_172.21.53.75,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb03.hci.bri.co.id,TBN-COM-HB-CL01,16.21 GB,0 B,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.0 and later (VM version 11),15.99 GB,0 B,24,0,0 second,,,,0 Hz,0 B,0,,,42187849-593a-0aa1-ca9c-6bd870bc67a5,,Enabled,N/A,Not Required,"Noncompliant (Jul 21, 2021 12:08 AM)",No,false,false
ATM-Simulator,Powered On,Normal,,172.19.146.192,TBN-CSTGLNV-CL13,144.87 GB,144.87 GB,Microsoft Windows Server 2003 (32-bit),ESXi 6.0 and later (VM version 11),7.99 GB,0 B,16,1,122 days,,guestToolsNotInstalled|0,Not running,2.71 GHz,8.08 GB,4,,"Intel® ""Broadwell"" Generation",42184a09-b575-3ade-56d8-e962eb6cf262,,Enabled,Protected,Not Required, --,No,false,false
atmpro-db,Powered On,Normal,,172.19.148.24,TBN-COM-HP-CL02,216.09 GB,216.09 GB,Ubuntu Linux (64-bit),ESXi 6.0 and later (VM version 11),16 GB,0 B,8,1,99 days,,guestToolsNotInstalled|0,Not running,21 MHz,984 MB,1,,"Intel® ""Broadwell"" Generation",564dea38-3f10-f4a9-4605-bb1ac81c3dfc,,Enabled,Protected,Not Required, --,No,false,false
Backup Swift 01_172.18.45.194,Powered Off,Normal,,172.19.146.178,TBN-CSTGLNV-CL09,32.21 GB,0 B,Microsoft Windows Server 2016 or later (64-bit),ESXi 6.5 and later (VM version 13),32 GB,0 B,16,0,0 second,,,Not running,0 Hz,0 B,0,,,4218e848-834d-f8bb-468c-91c6c4734a92,,Enabled,N/A,Not Required, --,No,false,false
Backup Swift 02_172.18.45.195,Powered Off,Normal,com.vmware.vcDr,172.19.146.180,TBN-CSTGLNV-CL09,32.21 GB,0 B,Microsoft Windows Server 2016 or later (64-bit),ESXi 6.5 and later (VM version 13),32 GB,0 B,16,0,0 second,,,Not running,0 Hz,0 B,0,,,4218a563-59c1-4fd9-fb7d-93a5f1c62c8f,,Enabled,N/A,Not Required, --,No,false,false
Backup Swift 03_172.18.45.196,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb02.hci.bri.co.id,TBN-COM-HB-CL01,32.21 GB,0 B,Microsoft Windows Server 2016 (64-bit),ESXi 6.5 and later (VM version 13),32 GB,0 B,16,0,0 second,,,,0 Hz,0 B,0,,,42184b5a-2f1b-d4a7-5c8b-f94835891c83,,Enabled,N/A,Not Required,"Noncompliant (Jul 21, 2021 12:08 AM)",No,false,false
